START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
10/28/2013,7:00 PM,10:00 PM,Washington at Vancouver,Rogers Arena - Vancouver - BC,CSN-DC /  SNET-VAN,10/28/2013,10/29/2013,10:00 PM,1:00 AM,FALSE,TRUE,10/28/2013,6:00 PM,9:00 PM,FREE,BUSY
11/01/2013,7:00 PM,7:00 PM,Washington at Philadelphia,Wells Fargo Center - Philadelphia - PA,NHLN-US /  CSN-DC+ /  CSN-PH,11/01/2013,11/01/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/01/2013,6:00 PM,6:00 PM,FREE,BUSY
11/02/2013,7:00 PM,7:00 PM,Florida at Washington,Verizon Center - Washington - DC,FS-F /  CSN-DC,11/02/2013,11/02/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/02/2013,6:00 PM,6:00 PM,FREE,BUSY
11/05/2013,7:00 PM,7:00 PM,Ny Islanders at Washington,Verizon Center - Washington - DC,MSG PLUS /  CSN-DC,11/05/2013,11/05/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/05/2013,6:00 PM,6:00 PM,FREE,BUSY
11/07/2013,7:00 PM,7:00 PM,Minnesota at Washington,Verizon Center - Washington - DC,FS-N /  CSN-DC,11/07/2013,11/07/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/07/2013,6:00 PM,6:00 PM,FREE,BUSY
11/09/2013,6:00 PM,8:00 PM,Washington at Phoenix,Jobing.com Arena - Glendale - AZ,CSN-DC,11/09/2013,11/09/2013,9:00 PM,11:00 PM,FALSE,TRUE,11/09/2013,5:00 PM,7:00 PM,FREE,BUSY
11/10/2013,6:00 PM,8:00 PM,Washington at Colorado,Pepsi Center - Denver - CO,CSN-DC+ /  ALT,11/10/2013,11/10/2013,9:00 PM,11:00 PM,FALSE,TRUE,11/10/2013,5:00 PM,7:00 PM,FREE,BUSY
11/12/2013,7:00 PM,7:00 PM,Columbus at Washington,Verizon Center - Washington - DC,FS-O /  CSN-DC,11/12/2013,11/12/2013,10:00 PM,10:00 PM,FALSE,TRUE,11/12/2013,6:00 PM,6:00 PM,FREE,BUSY
11/15/2013,7:30 PM,7:30 PM,Washington at Detroit,Joe Louis Arena - Detroit - MI,NHLN-US /  CSN-DC /  FS-D,11/15/2013,11/15/2013,10:30 PM,10:30 PM,FALSE,TRUE,11/15/2013,6:30 PM,6:30 PM,FREE,BUSY
11/17/2013,6:00 PM,6:00 PM,St Louis at Washington,Verizon Center - Washington - DC,FS-MW /  CSN-DC,11/17/2013,11/17/2013,9:00 PM,9:00 PM,FALSE,TRUE,11/17/2013,5:00 PM,5:00 PM,FREE,BUSY
